,动账金额,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,免佣金额
count,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0,1287.0
mean,842.6304817404819,575.3901320901319,0.0,0.0,1.7215695415695422,0.0,0.0,0.0,1.9113364413364413,0.06936285936285937,0.19679098679098683,0.0,-265.5249417249417,-5.776503496503497,-16.386192696192694,0.0,0.0,-0.34722610722610725,0.0,0.0,0.4675912975912976
std,1268.6109673125231,1134.663665261542,0.0,0.0,81.17448297165204,0.0,0.0,0.0,18.353338941785744,0.9007937045995881,3.6109762734709756,0.0,845.2110637744438,27.892461479055626,129.21822223290656,0.0,0.0,3.312312813127467,0.0,0.0,3.928521553516098
min,0.07,0.0,0.0,0.0,-1220.0,0.0,0.0,0.0,-235.0,0.0,0.0,0.0,-7649.15,-145.98,-1323.4,0.0,0.0,-31.92,0.0,0.0,0.0
25%,27.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,153.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1499.0,667.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,7649.15,7299.0,0.0,0.0,1220.0,0.0,0.0,0.0,235.0,20.0,120.0,0.0,0.0,152.98,1098.56,0.0,0.0,0.0,0.0,0.0,71.38
